filepath;song;artist;subset;album;video_id;start_diff;stop_diff;csr;purpose;audio_filepath
./data/chordlab/rs200/blueberry_hill_dt.clt;Blueberry Hill;Fats Domino;rs200;;oyr43Gi4BYA;1.8;-0.51;0.88;train;./data/audio/oyr43Gi4BYA_Blueberry Hill.webm
./data/chordlab/rs200/bo_diddley_dt.clt;Bo Diddley;Bo Diddley;rs200;;N7yLoqhkf8c;0.66;-2.92;0.93;train;./data/audio/N7yLoqhkf8c_Bo Diddley.webm
./data/chordlab/rs200/born_to_be_wild_dt.clt;Born To Be Wild;Steppenwolf;rs200;;p8FTmkTIL88;-0.11;-1.08;0.9;train;./data/audio/p8FTmkTIL88_Born To Be Wild.webm
./data/chordlab/rs200/born_to_run_dt.clt;Born to Run;Bruce Springsteen;rs200;;Wu4_zVxmufY;0.05;-5.16;0.85;train;./data/audio/Wu4_zVxmufY_Born to Run.webm
./data/chordlab/rs200/both_sides_now_dt.clt;Both Sides Now;Joni Mitchell;rs200;;7m_t3_1vbX8;0.24;0.4;0.66;validate;./data/audio/7m_t3_1vbX8_Both Sides Now.webm
./data/chordlab/rs200/california_dreamin_dt.clt;California Dreamin';The Mamas & the Papas;rs200;;Qtf6z6ytbts;-0.41;-1.46;0.5;train;./data/audio/Qtf6z6ytbts_California Dreamin.webm
./data/chordlab/rs200/california_girls_dt.clt;California Girls;The Beach Boys;rs200;;9UMKSugpwGo;-0.3;0.45;0.8;test;./data/audio/9UMKSugpwGo_California Girls.webm
./data/chordlab/rs200/california_love_dt.clt;California Love;Dr. Dre and 2Pac;rs200;;LRt6TdSvHag;1.48;-4.22;0.75;train;./data/audio/LRt6TdSvHag_California Love (Original Version).webm
./data/chordlab/rs200/cathys_clown_dt.clt;Cathy's Clown;The Everly Brothers;rs200;;yyeryRobP2g;0.25;-1.28;0.7;train;./data/audio/yyeryRobP2g_Cathys Clown (Remastered).webm
./data/chordlab/rs200/changes_dt.clt;Changes;David Bowie;rs200;;aOveiRJNeuY;0.53;-2.56;0.69;train;./data/audio/aOveiRJNeuY_Changes (1999 Remaster).webm
./data/chordlab/rs200/come_as_you_are_dt.clt;Come As You Are;Nirvana;rs200;;ZEMBDKMtHqM;0.85;-8.2;0.95;train;./data/audio/ZEMBDKMtHqM_Come As You Are.webm
./data/chordlab/rs200/crazy_dt.clt;Crazy;Patsy Cline;rs200;;DXWCaQPXE_0;0.04;1.09;0.82;train;./data/audio/DXWCaQPXE_0_Crazy.webm
./data/chordlab/rs200/da_doo_ron_ron_dt.clt;Da Doo Ron Ron;The Crystals;rs200;;fcCvcL0bXmU;0.36;-0.67;0.94;train;./data/audio/fcCvcL0bXmU_Da Doo Ron Ron (Remastered).webm
./data/chordlab/rs200/dancing_in_the_street_dt.clt;Dancing in the Street;Martha and the Vandellas;rs200;;VKjMuG3LTTo;0.0;-3.88;0.93;train;./data/audio/VKjMuG3LTTo_Dancing in the Street.webm
./data/chordlab/rs200/dont_worry_baby_dt.clt;Don't Worry Baby;The Beach Boys;rs200;;6embFRuqxa4;0.67;-0.44;0.86;train;./data/audio/6embFRuqxa4_Dont Worry Baby (Stereo).webm
./data/chordlab/rs200/dream_on_dt.clt;Dream On;Aerosmith;rs200;;cvCFRGn7EEQ;0.38;-1.6;0.68;train;./data/audio/cvCFRGn7EEQ_Dream On.webm
./data/chordlab/rs200/earth_angel_dt.clt;Earth Angel;The Penguins;rs200;;Gdaok1PyFfw;0.15;-0.7;0.87;test;./data/audio/Gdaok1PyFfw_Earth Angel (Will You Be Mine).webm
./data/chordlab/rs200/eight_miles_high_dt.clt;Eight Miles High;The Byrds;rs200;;S9NUYiyT2N8;-0.02;-2.28;0.92;train;./data/audio/S9NUYiyT2N8_Eight Miles High.webm
./data/chordlab/rs200/enter_sandman_dt.clt;Enter Sandman;Metallica;rs200;;CHIWNDAwTqQ;0.08;-2.99;0.82;train;./data/audio/CHIWNDAwTqQ_Enter Sandman.webm
./data/chordlab/rs200/every_breath_you_take_dt.clt;Every Breath You Take;The Police;rs200;;dF0uNiKnQGk;-0.57;0.75;0.53;test;./data/audio/dF0uNiKnQGk_Every Breath You Take (Live).webm
./data/chordlab/rs200/everyday_people_dt.clt;Everyday People;Sly and the Family Stone;rs200;;EQ-cBthmUPI;0.25;-0.78;0.88;train;./data/audio/EQ-cBthmUPI_Everyday People.webm
./data/chordlab/rs200/fake_plastic_trees_dt.clt;Fake Plastic Trees;Radiohead;rs200;;6gDhsUWCHrg;-0.06;-5.52;0.91;train;./data/audio/6gDhsUWCHrg_Fake Plastic Trees.webm
./data/chordlab/rs200/family_affair_dt.clt;Family Affair;Sly and the Family Stone;rs200;;1wzey7PvOUY;0.22;-8.66;0.84;train;./data/audio/1wzey7PvOUY_Family Affair in the Style of Sly & the Family Stone (Karaoke Backing Track).webm
./data/chordlab/rs200/fast_car_dt.clt;Fast Car;Tracy Chapman;rs200;;IJ8i49EqgYI;0.14;-2.61;0.56;train;./data/audio/IJ8i49EqgYI_Fast Car.webm
./data/chordlab/rs200/folsom_prison_blues_dt.clt;Folsom Prison Blues;Johnny Cash;rs200;;ZTol6KfcEFw;-0.02;-2.9;0.75;train;./data/audio/ZTol6KfcEFw_Folsom Prison Blues.webm
./data/chordlab/rs200/for_what_its_worth_dt.clt;For What It's Worth;Buffalo Springfield;rs200;;CXvyq4SyDwU;-0.03;-3.52;0.82;train;./data/audio/CXvyq4SyDwU_For What Its Worth.webm
./data/chordlab/rs200/fortunate_son_dt.clt;Fortunate Son;Creedence Clearwater Revival;rs200;;3RmQTYLD398;-0.25;-1.04;0.86;test;./data/audio/3RmQTYLD398_Fortunate Son.webm
./data/chordlab/rs200/foxey_lady_dt.clt;Foxey Lady;The Jimi Hendrix Experience;rs200;;jypXZQqSxAA;6.96;-178.05;0.63;;
./data/chordlab/rs200/free_fallin_dt.clt;Free Fallin';Tom Petty;rs200;;PIuAFrLeXfY;-0.08;-4.47;0.85;test;./data/audio/PIuAFrLeXfY_Free Fallin.webm
./data/chordlab/rs200/georgia_on_my_mind_dt.clt;Georgia on My Mind;Ray Charles;rs200;;QL3EZwSJAh0;-0.04;-4.03;0.74;train;./data/audio/QL3EZwSJAh0_Georgia on My Mind.webm
./data/chordlab/rs200/gimme_shelter_dt.clt;Gimme Shelter;The Rolling Stones;rs200;;3kkKiqgjOt4;-1.39;-9.69;0.71;train;./data/audio/3kkKiqgjOt4_Gimme Shelter (Mono).webm
./data/chordlab/rs200/go_your_own_way_dt.clt;Go Your Own Way;Fleetwood Mac;rs200;;Fz8oX5JCuLA;0.18;0.35;0.94;train;./data/audio/Fz8oX5JCuLA_Go Your Own Way (2018 Remaster).webm
./data/chordlab/rs200/god_only_knows_dt.clt;God Only Knows;The Beach Boys;rs200;;CWPo5SC3zik;0.08;0.29;0.75;train;./data/audio/CWPo5SC3zik_God Only Knows (Mono  1997 Remastered).webm
./data/chordlab/rs200/god_save_the_queen_dt.clt;God Save the Queen;The Sex Pistols;rs200;;0Z8WszCFWDQ;-0.58;-23.52;0.39;;
./data/chordlab/rs200/good_golly_miss_molly_dt.clt;Good Golly, Miss Molly;Little Richard;rs200;;T880LGFMQLg;0.12;-3.0;0.82;train;./data/audio/T880LGFMQLg_Good Golly Miss Molly.webm
./data/chordlab/rs200/good_vibrations_dt.clt;Good Vibrations;The Beach Boys;rs200;;oMfjgQ8ptrE;-0.11;-1.32;0.69;train;./data/audio/oMfjgQ8ptrE_Good Vibrations (Remastered 2001).webm
./data/chordlab/rs200/great_balls_of_fire_dt.clt;Great Balls Of Fire;Jerry Lee Lewis;rs200;;cOuQVkCiwWU;-6.14;0.41;0.76;validate;./data/audio/cOuQVkCiwWU_Great Balls of Fire.webm
./data/chordlab/rs200/hallelujah_dt.clt;Hallelujah;Jeff Buckley;rs200;;MYrXK5ek_PQ;1.45;-3.02;0.7;validate;./data/audio/MYrXK5ek_PQ_Hallelujah.webm
./data/chordlab/rs200/heartbreak_hotel_dt.clt;Heartbreak Hotel;Elvis Presley;rs200;;LGwO2BaDJQc;-1.58;-1.57;0.65;train;./data/audio/LGwO2BaDJQc_Heartbreak Hotel.webm
./data/chordlab/rs200/heroes_dt.clt;Heroes;David Bowie;rs200;;YLp2cW7ICCU;0.48;-5.69;0.88;train;./data/audio/YLp2cW7ICCU_Heroes (2017 Remaster).webm
./data/chordlab/rs200/hey_jude_dt.clt;Hey Jude;The Beatles;rs200;;mQER0A0ej0M;0.68;0.01;0.86;train;./data/audio/mQER0A0ej0M_Hey Jude (Remastered 2015).webm
./data/chordlab/rs200/honky_tonk_women_dt.clt;Honky Tonk Women;The Rolling Stones;rs200;;G-eRyFnLe9w;3.4;-84.92;0.48;;
./data/chordlab/rs200/hot_stuff_dt.clt;Hot Stuff;Donna Summer;rs200;;nYMeJSehCe4;0.04;0.48;0.9;validate;./data/audio/nYMeJSehCe4_Hot Stuff.webm
./data/chordlab/rs200/hotel_california_dt.clt;Hotel California;The Eagles;rs200;;GfCy_1xKFdU;0.31;-26.85;0.42;;
./data/chordlab/rs200/hound_dog_dt.clt;Hound Dog;Elvis Presley;rs200;;VuBDa3SpOL8;0.99;-1.51;0.76;train;./data/audio/VuBDa3SpOL8_Hound Dog.webm
./data/chordlab/rs200/house_of_the_rising_sun_dt.clt;House of the Rising Sun;The Animals;rs200;;sHbKdI26RkE;0.01;-3.86;0.89;train;./data/audio/sHbKdI26RkE_House Of The Rising Sun.webm
./data/chordlab/rs200/i_believe_i_can_fly_dt.clt;I Believe I Can Fly;R. Kelly;rs200;;4qPOWeA-L5I;-0.28;-2.46;0.57;;./data/audio/4qPOWeA-L5I_I Believe I Can Fly.webm
./data/chordlab/rs200/i_cant_make_you_love_me_dt.clt;I Can't Make You Love Me;Bonnie Raitt;rs200;;_z2PAkOSJT0;0.37;-2.25;0.87;train;./data/audio/_z2PAkOSJT0_I Cant Make You Love Me.webm
./data/chordlab/rs200/i_cant_stop_loving_you_dt.clt;I Can't Stop Loving You;Ray Charles;rs200;;eZNgVW0lD_k;0.36;-1.65;0.95;train;./data/audio/eZNgVW0lD_k_I Cant Stop Loving You.webm
./data/chordlab/rs200/i_fought_the_law_dt.clt;I Fought the Law;The Bobby Fuller Four;rs200;;oS68vto5RlU;-0.85;-3.07;0.84;train;./data/audio/oS68vto5RlU_I Fought the Law.webm
./data/chordlab/rs200/i_got_you_dt.clt;I Got You (I Feel Good);James Brown;rs200;;A7pRUj9RBp0;-0.4;-1.6;0.46;train;./data/audio/A7pRUj9RBp0_I Got You (I Feel Good).webm
./data/chordlab/rs200/i_heard_it_through_the_grapevine_dt.clt;I Heard It Through the Grapevine;Marvin Gaye;rs200;;kAPj9oP4q_w;0.08;1.08;0.86;train;./data/audio/kAPj9oP4q_w_I Heard It Through The Grapevine.webm
./data/chordlab/rs200/i_only_have_eyes_for_you_dt.clt;I Only Have Eyes for You;The Flamingos;rs200;;mQfldItafQU;-0.02;1.93;0.88;train;./data/audio/mQfldItafQU_I Only Have Eyes For You.webm
./data/chordlab/rs200/i_still_havent_found_what_im_looking_for_dt.clt;I Still Haven't Found What I'm Looking For;U2;rs200;;-xrHR48LWwA;0.25;-10.61;0.85;;
./data/chordlab/rs200/i_walk_the_line_dt.clt;I Walk the Line;Johnny Cash;rs200;;oQFicmUfKi4;0.43;-9.78;0.9;train;./data/audio/oQFicmUfKi4_I Walk the Line.webm
./data/chordlab/rs200/i_wanna_be_sedated_dt.clt;I Wanna Be Sedated;The Ramones;rs200;;jgUizUysVyk;-0.07;15.02;0.36;;
./data/chordlab/rs200/i_want_to_hold_your_hand_dt.clt;I Want to Hold Your Hand;The Beatles;rs200;;XT4pwRi2JmY;-0.19;-2.27;0.9;train;./data/audio/XT4pwRi2JmY_I Want To Hold Your Hand (Remastered 2009).webm
./data/chordlab/rs200/i_want_you_back_dt.clt;I Want You Back;The Jackson 5;rs200;;UvynvnxZJ3Q;-0.15;3.61;0.64;train;./data/audio/UvynvnxZJ3Q_I Want You Back.webm
./data/chordlab/rs200/im_so_lonesome_i_could_cry_dt.clt;I'm So Lonesome I Could Cry;Hank Williams;rs200;;SBN4tttmKBY;0.44;-0.68;0.95;train;./data/audio/SBN4tttmKBY_Im so Lonesome I Could Cry.webm
./data/chordlab/rs200/im_waiting_for_the_man_dt.clt;I'm Waiting for the Man;The Velvet Underground;rs200;;99og_g7rXnA;0.2;-4.99;0.92;train;./data/audio/99og_g7rXnA_Im Waiting For The Man.webm
./data/chordlab/rs200/imagine_dt.clt;Imagine;John Lennon;rs200;;rAn-AWXtHv0;0.01;-2.46;0.93;train;./data/audio/rAn-AWXtHv0_Imagine (Remastered 2010).webm
./data/chordlab/rs200/in_bloom_dt.clt;In Bloom;Nirvana;rs200;;-pmmTxLAZ_Q;-0.03;1.98;0.87;train;./data/audio/-pmmTxLAZ_Q_In Bloom (Remastered 2021).webm
./data/chordlab/rs200/in_the_midnight_hour_dt.clt;In The Midnight Hour;Wilson Pickett;rs200;;Il-usrZxGns;0.11;-7.62;0.89;train;./data/audio/Il-usrZxGns_In the Midnight Hour (45 Version).webm
./data/chordlab/rs200/in_the_still_of_the_night_dt.clt;In the Still of the Night;The Five Satins;rs200;;180m_WVom0U;0.48;-0.46;0.68;test;./data/audio/180m_WVom0U_In The Still Of The Night.webm
./data/chordlab/rs200/its_a_mans_mans_mans_world_dt.clt;It's a Man's Man's Man's World;James Brown;rs200;;XsERJ4T51io;-0.83;-0.18;0.67;train;./data/audio/XsERJ4T51io_Its a Mans Mans Mans World (Remastered).webm
./data/chordlab/rs200/ive_been_loving_you_too_long_dt.clt;I've Been Loving You Too Long (to Stop Now);Otis Redding;rs200;;FioAvlnOUUw;0.5;-12.4;0.92;;
./data/chordlab/rs200/jailhouse_rock_dt.clt;Jailhouse Rock;Elvis Presley;rs200;;A99sV18J0mk;-0.07;-3.22;0.79;validate;./data/audio/A99sV18J0mk_Jailhouse Rock.webm
./data/chordlab/rs200/johnny_b_goode_dt.clt;Johnny B. Goode;Chuck Berry;rs200;;Y1wLTJf_WtU;-0.31;-1.55;0.9;train;./data/audio/Y1wLTJf_WtU_Johnny B Goode.webm
./data/chordlab/rs200/jumpin_jack_flash_dt.clt;Jumpin' Jack Flash;The Rolling Stones;rs200;;0cPXwc-5Kw8;-2.9;3.29;0.59;train;./data/audio/0cPXwc-5Kw8_Jumpin Jack Flash ((Original Single Mono Version)).webm
./data/chordlab/rs200/kashmir_dt.clt;Kashmir;Led Zeppelin;rs200;;SsaFBNvhceA;-0.68;-1.81;0.76;train;./data/audio/SsaFBNvhceA_Kashmir (1990 Remaster).webm
./data/chordlab/rs200/layla_dt.clt;Layla;Derek and the Dominos;rs200;;C_OAXvSV154;-2.53;-51.74;0.31;;
./data/chordlab/rs200/lets_get_it_on_dt.clt;Let's Get It On;Marvin Gaye;rs200;;tQj1kPmQXwE;0.29;1.8;0.64;train;./data/audio/tQj1kPmQXwE_Lets Get It On.webm
./data/chordlab/rs200/lets_stay_together_dt.clt;Let's Stay Together;Al Green;rs200;;2FEJINHoRcU;0.02;-12.96;0.78;;
./data/chordlab/rs200/light_my_fire_dt.clt;Light My Fire;The Doors;rs200;;qoX6AKuYWL8;0.28;0.27;0.47;train;./data/audio/qoX6AKuYWL8_Light My Fire (2017 Remaster).webm
./data/chordlab/rs200/like_a_rolling_stone_dt.clt;Like a Rolling Stone;Bob Dylan;rs200;;ZAigkYd0ipE;0.19;-10.97;0.86;;
./data/chordlab/rs200/little_red_corvette_dt.clt;Little Red Corvette;Prince;rs200;;K0DAkJSp61w;-0.33;-9.68;0.75;train;./data/audio/K0DAkJSp61w_Little Red Corvette.webm
./data/chordlab/rs200/living_for_the_city_dt.clt;Living for the City;Stevie Wonder;rs200;;ghLWjyOOLno;1.34;-2.82;0.84;train;./data/audio/ghLWjyOOLno_Living For The City.webm
./data/chordlab/rs200/london_calling_dt.clt;London Calling;The Clash;rs200;;U96B4e5lZlQ;-0.05;-4.25;0.66;train;./data/audio/U96B4e5lZlQ_London Calling (2012 Mix).webm
./data/chordlab/rs200/long_tall_sally_dt.clt;Long Tall Sally;Little Richard;rs200;;STJu_vqTr2U;-0.01;-1.71;0.82;train;./data/audio/STJu_vqTr2U_Long Tall Sally.webm
./data/chordlab/rs200/lose_yourself_dt.clt;Lose Yourself;Eminem;rs200;;Wj7lL6eDOqc;0.2;0.38;0.64;train;./data/audio/Wj7lL6eDOqc_Lose Yourself (From 8 Mile Soundtrack).webm
./data/chordlab/rs200/losing_my_religion_dt.clt;Losing My Religion;R.E.M.;rs200;;0X1hRftjvfM;-0.79;-0.38;0.93;train;./data/audio/0X1hRftjvfM_Losing My Religion.webm
./data/chordlab/rs200/louie_louie_dt.clt;Louie Louie;The Kingsmen;rs200;;nQM_DQiJltM;-3.21;0.75;0.51;train;./data/audio/nQM_DQiJltM_Louie Louie.webm
./data/chordlab/rs200/love_and_happiness_dt.clt;Love and Happiness;Al Green;rs200;;DKhxhuwZ-eA;0.71;1.15;0.85;validate;./data/audio/DKhxhuwZ-eA_Love and Happiness.webm
./data/chordlab/rs200/love_will_tear_us_apart_dt.clt;Love Will Tear Us Apart;Joy Division;rs200;;mAAqKx4aD_g;0.19;1.54;0.75;train;./data/audio/mAAqKx4aD_g_Love Will Tear Us Apart (2010 Remaster).webm
./data/chordlab/rs200/lust_for_life_dt.clt;Lust for Life;Iggy Pop;rs200;;zkCCC3Zqpcs;0.2;-3.51;0.98;test;./data/audio/zkCCC3Zqpcs_Lust For Life.webm
./data/chordlab/rs200/maggie_may_dt.clt;Maggie May;Rod Stewart;rs200;;XGsaF3fvjqs;31.09;-2.23;0.87;train;./data/audio/XGsaF3fvjqs_Maggie May.webm
./data/chordlab/rs200/maybellene_dt.clt;Maybellene;Chuck Berry;rs200;;npkoS9Q3QYk;0.89;-4.58;0.87;train;./data/audio/npkoS9Q3QYk_Maybellene.webm
./data/chordlab/rs200/me_and_bobby_mcgee_dt.clt;Me and Bobby McGee;Janis Joplin;rs200;;-ggFIeg5u1M;0.23;-5.25;0.97;train;./data/audio/-ggFIeg5u1M_Me and Bobby McGee.webm
./data/chordlab/rs200/mr_tambourine_man_byrds_dt.clt;Mr. Tambourine Man;The Byrds;rs200;;V1SLL7Ge4lg;0.32;10.51;0.84;;
./data/chordlab/rs200/mr_tambourine_man_dylan_dt.clt;Mr. Tambourine Man;Bob Dylan;rs200;;mM0CcA1rzjY;0.4;1.47;0.88;validate;./data/audio/mM0CcA1rzjY_Mr Tambourine Man.webm
./data/chordlab/rs200/my_generation_dt.clt;My Generation;The Who;rs200;;qIYuXJYaZWw;-0.06;-7.96;0.49;train;./data/audio/qIYuXJYaZWw_My Generation.webm
./data/chordlab/rs200/my_girl_dt.clt;My Girl;The Temptations;rs200;;szbI1vu-cCc;-0.05;3.82;0.8;test;./data/audio/szbI1vu-cCc_My Girl.webm
./data/chordlab/rs200/mystery_train_dt.clt;Mystery Train;Elvis Presley;rs200;;iUc0qsYQqMk;0.34;-9.4;0.96;train;./data/audio/iUc0qsYQqMk_Mystery Train.webm
./data/chordlab/rs200/no_woman_no_cry_dt.clt;No Woman, No Cry;Bob Marley & The Wailers;rs200;;ACIYuW91Zms;0.92;-14.77;0.68;;
./data/chordlab/rs200/not_fade_away_dt.clt;Not Fade Away;Buddy Holly and the Crickets;rs200;;TLtIfQslVHs;0.23;0.74;0.75;train;./data/audio/TLtIfQslVHs_Not Fade Away.webm
./data/chordlab/rs200/nothing_compares_2_u_dt.clt;Nothing Compares 2 U;Sinead O'Connor;rs200;;LGrUWn-nt-U;-0.52;-10.0;0.75;;
./data/chordlab/rs200/nuthin_but_a_g_thang_dt.clt;Nuthin' But a 'G' Thang;Dr. Dre;rs200;;qqQL9JIlEg0;-0.18;8.91;0.26;;
./data/chordlab/rs200/one_dt.clt;One;U2;rs200;;TBF_jCLO1l0;0.29;-4.88;0.96;train;./data/audio/TBF_jCLO1l0_One.webm
./data/chordlab/rs200/paint_it_black_dt.clt;Paint It, Black;The Rolling Stones;rs200;;onEyJC1E1zw;-0.22;-74.62;0.33;;
./data/chordlab/rs200/papa_was_a_rollin_stone_dt.clt;Papa Was A Rollin' Stone;The Temptations;rs200;;-eKA15PGadI;-2.72;-304.55;0.65;;
./data/chordlab/rs200/papas_got_a_brand_new_bag_dt.clt;Papa's Got a Brand New Bag;James Brown;rs200;;YT5sr5Mvkdk;0.04;-3.55;0.68;train;./data/audio/YT5sr5Mvkdk_Papas Got A Brand New Bag (Part 2).webm
./data/chordlab/rs200/paranoid_android_dt.clt;Paranoid Android;Radiohead;rs200;;DExBeFCx3mQ;0.11;1.08;0.71;train;./data/audio/DExBeFCx3mQ_Paranoid Android (Remastered).webm
./data/chordlab/rs200/people_get_ready_dt.clt;People Get Ready;The Impressions;rs200;;Eymq2zXmE9c;-0.1;-2.81;0.63;train;./data/audio/Eymq2zXmE9c_People get ready.webm
./data/chordlab/rs200/please_please_please_dt.clt;Please, Please, Please;James Brown;rs200;;LHJnaVbXkoo;1.24;-0.62;0.75;train;./data/audio/LHJnaVbXkoo_Please Please Please.webm
./data/chordlab/rs200/purple_haze_dt.clt;Purple Haze;The Jimi Hendrix Experience;rs200;;EWivpZP3bIs;-4.06;-15.47;0.01;;
./data/chordlab/rs200/purple_rain_dt.clt;Purple Rain;Prince;rs200;;edDiY323768;-0.25;-115.34;0.88;;
./data/chordlab/rs200/rave_on_dt.clt;Rave On;Buddy Holly and the Crickets;rs200;;5u8iYKFgBRU;-0.78;-0.32;0.65;train;./data/audio/5u8iYKFgBRU_Rave On.webm
./data/chordlab/rs200/redemption_song_dt.clt;Redemption Song;Bob Marley & The Wailers;rs200;;hDZWMpI7sgY;-0.01;0.19;0.74;train;./data/audio/hDZWMpI7sgY_Redemption Song.webm
./data/chordlab/rs200/respect_dt.clt;Respect;Aretha Franklin;rs200;;8rRPc87wgug;0.01;1.08;0.92;train;./data/audio/8rRPc87wgug_Respect (Mono).webm
./data/chordlab/rs200/ring_of_fire_dt.clt;Ring of Fire;Johnny Cash;rs200;;1WaV2x8GXj0;1.26;0.5;0.87;test;./data/audio/1WaV2x8GXj0_Ring of Fire.webm
./data/chordlab/rs200/river_deep_mountain_high_dt.clt;River Deep - Mountain High;Ike & Tina Turner;rs200;;0FrWwQVyLlw;-0.25;1.87;0.73;train;./data/audio/0FrWwQVyLlw_River Deep Mountain High.webm
./data/chordlab/rs200/rock_and_roll_music_dt.clt;Rock & Roll Music;Chuck Berry;rs200;;FDorB-VvSs0;1.33;-85.85;0.52;;
./data/chordlab/rs200/rock_around_the_clock_dt.clt;(We're Gonna) Rock Around the Clock;Bill Haley and His Comets;rs200;;jVlRk-2BFSQ;-1.97;-2.74;0.69;train;./data/audio/jVlRk-2BFSQ_[Were Gonna] Rock Around The Clock.webm
./data/chordlab/rs200/rock_lobster_dt.clt;Rock Lobster;The B-52's;rs200;;6mXNsUe3I5E;-1.85;119.72;0.24;;
./data/chordlab/rs200/rockin_in_the_free_world_dt.clt;Rockin' in the Free World;Neil Young;rs200;;DvxxdZpMFHg;-0.39;-3.56;0.7;train;./data/audio/DvxxdZpMFHg_Rockin in the Free World.webm
./data/chordlab/rs200/roll_over_beethoven_dt.clt;Roll Over Beethoven;Chuck Berry;rs200;;xCNl9KWy2No;-0.27;-1.01;0.69;validate;./data/audio/xCNl9KWy2No_Roll Over Beethoven.webm
./data/chordlab/rs200/sabotage_dt.clt;Sabotage;The Beastie Boys;rs200;;pAztga-4EIM;-0.49;-5.03;0.95;train;./data/audio/pAztga-4EIM_Sabotage (Beastie Boys).webm
./data/chordlab/rs200/satisfaction_dt.clt;Satisfaction;The Rolling Stones;rs200;;fgsApe-zoUI;0.14;2.19;0.64;train;./data/audio/fgsApe-zoUI_[I Cant Get No] Satisfaction.webm
./data/chordlab/rs200/september_gurls_dt.clt;September Gurls;Big Star;rs200;;TrzIO3Y-o78;-0.27;-2.91;0.83;test;./data/audio/TrzIO3Y-o78_September Gurls.webm
./data/chordlab/rs200/shake_rattle_and_roll_dt.clt;Shake, Rattle and Roll;Big Joe Turner;rs200;;xljgoSsMhjU;-0.16;-3.17;0.91;train;./data/audio/xljgoSsMhjU_Shake Rattle And Roll.webm
./data/chordlab/rs200/she_loves_you_dt.clt;She Loves You;The Beatles;rs200;;nGbWU8S3vzs;-0.1;-0.07;0.82;test;./data/audio/nGbWU8S3vzs_She Loves You (Remastered 2009).webm
